大項目,中項目,小項目,設問,設問様式,選択肢,配点
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,(1)サステナビリティ推進に関して取り組む部門・部署等がありますか,複数,c.社内横断的に推進する委員会等がある,2
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,(1)サステナビリティ推進に関して取り組む部門・部署等がありますか,複数,"d.グループ全体で取り組む委員会等がある
【注】グループ企業を持たないなど非該当の場合は「非該当」とご記入ください。",2
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,"(2)サステナビリティの取組みに関する監督体制がありますか
【例】担当取締役の選任、委員会の設置、内部監査部門の活用など",複数,a.サステナビリティの取組みに関する監督体制はない、もしくは不明,0
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,"(2)サステナビリティの取組みに関する監督体制がありますか
【例】担当取締役の選任、委員会の設置、内部監査部門の活用など",複数,b.同取組みに関する監督体制がある,2
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,"(2)サステナビリティの取組みに関する監督体制がありますか
【例】担当取締役の選任、委員会の設置、内部監査部門の活用など",複数,c.監督の役割を果たす組織・人への支援の仕組み（研修等）がある,2
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,A.従業員教育,(1)サステナビリティに関する従業員教育に取り組んでいますか,択一,a.サステナビリティに関する従業員教育は行っていない、もしくは不明,0
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,A.従業員教育,(1)サステナビリティに関する従業員教育に取り組んでいますか,択一,b.同従業員教育を一部（関連部署あるいは管理職など）の従業員に実施している,1
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,A.従業員教育,(1)サステナビリティに関する従業員教育に取り組んでいますか,択一,c.同従業員教育をすべての正社員に実施している,3
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,A.従業員教育,(1)サステナビリティに関する従業員教育に取り組んでいますか,択一,d.同従業員教育をすべての従業員に実施している,5
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,B.従業員への浸透,(1)自社のサステナビリティの方針・計画の浸透に取り組んでいますか,択一,a.従業員へのサステナビリティの方針・計画の浸透に取り組んでいない、もしくは不明,0
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,B.従業員への浸透,(1)自社のサステナビリティの方針・計画の浸透に取り組んでいますか,択一,b.同取組みのために方針・計画の周知やアンケート等による浸透度の確認をしている,2
1サステナビリティ体制,4.サステナビリティの推進のための従業員への取組み,B.従業員への浸透,(1)自社のサステナビリティの方針・計画の浸透に取り組んでいますか,択一,c.上記確認をもとに改善をしている,4
1サステナビリティ体制,5.サプライチェーンを含めた取組み,A.サプライチェーンの把握,(1)自社のサプライチェーンを把握していますか,択一,a.自社のサプライチェーンを把握していない、もしくは不明,0
1サステナビリティ体制,5.サプライチェーンを含めた取組み,A.サプライチェーンの把握,(1)自社のサプライチェーンを把握していますか,択一,"b.一次調達先まで把握している
 【注】一次調達先についてすべて把握している場合に該当と評価する",1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,A.サプライチェーンの把握,(1)自社のサプライチェーンを把握していますか,択一,"c.二次調達先以上について把握している 
【注】二次調達先以上については、主要な調達先を把握していればよいものとする",3
1サステナビリティ体制,5.サプライチェーンを含めた取組み,B.サステナビリティ推進に関する調達基準,"(1)サステナビリティ推進に関する調達基準がありますか
【注】①ここでの調達基準は自社の基本のサステナビリティに関わるものであり、名称は問わない。②個別分野については各個別分野で確認をする",複数,a.サステナビリティ推進に関する調達基準を策定していない、もしくは不明,0
1サステナビリティ体制,5.サプライチェーンを含めた取組み,B.サステナビリティ推進に関する調達基準,"(1)サステナビリティ推進に関する調達基準がありますか
【注】①ここでの調達基準は自社の基本のサステナビリティに関わるものであり、名称は問わない。②個別分野については各個別分野で確認をする",複数,b.サステナビリティ推進に関する調達基準がある,2
1サステナビリティ体制,5.サプライチェーンを含めた取組み,B.サステナビリティ推進に関する調達基準,"(1)サステナビリティ推進に関する調達基準がありますか
【注】①ここでの調達基準は自社の基本のサステナビリティに関わるものであり、名称は問わない。②個別分野については各個別分野で確認をする",複数,"c.サステナビリティ推進に関する調達基準を公表している
",2
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(1)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,a.調達先に対してサステナビリティ推進に関する基本の調達基準を適用していない、もしくは不明,0
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(2)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,b.取引を始めるときに調達先に同基準等を示して確認をしている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(3)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,c.調達先が同基準にもとづきセルフチェックをしている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(4)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,d.調達先に対し、同基準の遵守状況のチェックもしくはアンケート調査をしている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(5)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,e.調達先に対し、同基準の違反の疑い、もしくは違反があった場合は、現地に行って確認・調査を行っている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(6)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,"f.b,c,d,e の取組みを二次調達先以上に対しても実施している",1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(7)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,g.調達先において同基準違反に関わる問題について社外からの指摘等の情報収集を行っている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,C.調査・確認,(8)調達先に対して、自社のサステナビリティ推進に関する調達基準をどのように適用していますか,複数,h.調達先において同基準の違反が確認できた場合、調達先に対して、方針・ルールに基づいて同基準違反の是正支援や調達先選定の見直しを行っている,1
1サステナビリティ体制,5.サプライチェーンを含めた取組み,D.実績の公表,(1)サステナビリティ推進に関する調達基準の適用に関する結果を開示していますか,複数,aサステナビリティ推進に関する調達基準の適用結果を開示していない、もしくは不明,0
1サステナビリティ体制,5.サプライチェーンを含めた取組み,D.実績の公表,(2)サステナビリティ推進に関する調達基準の適用に関する結果を開示していますか,複数,"b.サステナビリティ推進に関する調達基準に沿った購入物品・サービスについての実績を公表している
【手段例】CSR・環境等報告書、HP、その他
",2
1サステナビリティ体制,5.サプライチェーンを含めた取組み,D.実績の公表,(3)サステナビリティ推進に関する調達基準の適用に関する結果を開示していますか,複数,c.調達先において同基準違反があった場合に、その事実及び改善結果を公表している。なお、その事実がない場合は「ない」旨公表している,2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,A.ステークホルダーとのダイアログ,(1)ステークホルダーとのダイアログその他コミュニケーションを実施していますか,複数,a.ステークホルダーとのコミュニケーションを実施していない、もしくは不明,0
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,A.ステークホルダーとのダイアログ,(1)ステークホルダーとのダイアログその他コミュニケーションを実施していますか,複数,b.ステークホルダーを特定し、少なくとも年に1回ステークホルダーとダイアログ等のコミュニケーションを実施している,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,A.ステークホルダーとのダイアログ,(1)ステークホルダーとのダイアログその他コミュニケーションを実施していますか,複数,c.重要課題について、特定のステークホルダーごとに必要に応じてダイアログ等のコミュニケーションを実施している,2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,A.ステークホルダーとのダイアログ,(1)ステークホルダーとのダイアログその他コミュニケーションを実施していますか,複数,d.重要課題についてのステークホルダーごとのコミュニケーション結果については、経営や製品・サービスに反映している,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,A.ステークホルダーとのダイアログ,(1)ステークホルダーとのダイアログその他コミュニケーションを実施していますか,複数,e.上記に加えて、サステナビリティ推進部門以外においても重要課題について、ステークホルダーとのコミュニケーションを実施している,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,B.ステークホルダーとのエンゲージメント（社会・環境等のサステナビリティに関わる課題について、ステークホルダーとともに解決に取り組むことである。たとえば、重要課題の特定や情報開示の内容について協力して決定する、消費者教育の冊子を消費者・市民団体と協力して作成するなど）,(1)ステークホルダーとともに重要課題の解決に取り組んでいますか,複数,a.ステークホルダーとのエンゲージメントを実施していない、もしくは不明,0
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,B.ステークホルダーとのエンゲージメント（社会・環境等のサステナビリティに関わる課題について、ステークホルダーとともに解決に取り組むことである。たとえば、重要課題の特定や情報開示の内容について協力して決定する、消費者教育の冊子を消費者・市民団体と協力して作成するなど）,(1)ステークホルダーとともに重要課題の解決に取り組んでいますか,複数,b.少なくとも1つの重要課題について、ステークホルダーを特定してエンゲージメントを実施している,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,B.ステークホルダーとのエンゲージメント（社会・環境等のサステナビリティに関わる課題について、ステークホルダーとともに解決に取り組むことである。たとえば、重要課題の特定や情報開示の内容について協力して決定する、消費者教育の冊子を消費者・市民団体と協力して作成するなど）,(1)ステークホルダーとともに重要課題の解決に取り組んでいますか,複数,c.重要課題についてのステークホルダーとのエンゲージメントについては、必要な部門ごとに実施している,2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,B.ステークホルダーとのエンゲージメント（社会・環境等のサステナビリティに関わる課題について、ステークホルダーとともに解決に取り組むことである。たとえば、重要課題の特定や情報開示の内容について協力して決定する、消費者教育の冊子を消費者・市民団体と協力して作成するなど）,(1)ステークホルダーとともに重要課題の解決に取り組んでいますか,複数,d.ステークホルダーとのエンゲージメントの結果について、経営や製品・サービスに反映している,2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,C.サステナビリティに関する取組みの開示,(1)サステナビリティに関する取組みをHPや報告書に公表していますか,複数,a.していない、もしくは不明,0
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,C.サステナビリティに関する取組みの開示,(1)サステナビリティに関する取組みをHPや報告書に公表していますか,複数,"b.重要課題における「正（ポジティブ）の影響」について、その内容及びその取組みを公表している
【例】①事業や商品・サービスによってCO2を削減、②従業員の労働条件を改善した、など。",1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,C.サステナビリティに関する取組みの開示,(1)サステナビリティに関する取組みをHPや報告書に公表していますか,複数,"c.重要課題における「負（ネガティブ）の影響」について、その内容及びその是正の取組みを公表している
【例】①製造工程のCO2が増加、②外国人労働者の労働環境の問題が明らかになった、など。",2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,C.サステナビリティに関する取組みの開示,(1)サステナビリティに関する取組みをHPや報告書に公表していますか,複数,d.自社の取組みにおける現状の課題と今後の取組みについて公表している,2
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,D.ネガティブ情報・抗議情報等の開示,(1)事業活動における選択肢のb～eのネガティブ情報やステークホルダーの抗議情報等について公表していますか,複数,a.ネガティブ情報・抗議情報の公表はしていない、もしくは不明,0
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,D.ネガティブ情報・抗議情報等の開示,(1)事業活動における選択肢のb～eのネガティブ情報やステークホルダーの抗議情報等について公表していますか,複数,b.関係官庁からの処分等情報について該当する事案の事実とその対応について公表している。なお、その事実がない場合は、「ない」旨公表している。,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,D.ネガティブ情報・抗議情報等の開示,(1)事業活動における選択肢のb～eのネガティブ情報やステークホルダーの抗議情報等について公表していますか,複数,c.法令等違反の情報について該当する事案の事実とその対応について公表している。なお、その事実がない場合は、「ない」旨公表している。,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,D.ネガティブ情報・抗議情報等の開示,(1)事業活動における選択肢のb～eのネガティブ情報やステークホルダーの抗議情報等について公表していますか,複数,d.環境や社会課題に関する住民、NPO／NGO、サプライヤー等ステークホルダーから抗議があった場合、該当する事案の事実とその対応について公表している。なお、その事実がない場合は、「ない」旨公表している。,1
1サステナビリティ体制,6.B.サステナビリティに関するステークホルダー・エンゲージメント,D.ネガティブ情報・抗議情報等の開示,(1)事業活動における選択肢のb～eのネガティブ情報やステークホルダーの抗議情報等について公表していますか,複数,"e.ネガティブ情報・抗議等の情報の開示期間については,少なくとも過去5年間は該当する事案について公表している。なお、その事実がない場合は、「ない」旨公表している。",1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
","(1)消費者志向経営に関する方針がありますか
【注】方針の名称は問いません（例.お客様第一主義、消費者重視経営方針、消費者志向経営方針など）
企業等の組織が社会の一員として、自らの活動によってもたらす影響に十分配慮し、消費者の権利を尊重し、消費者のニーズや期待にこたえることにより組織の社会的責任を果たすこと",複数,a.消費者志向経営に関する方針は策定していない、もしくは不明,0
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
","(1)消費者志向経営に関する方針がありますか
【注】方針の名称は問いません（例.お客様第一主義、消費者重視経営方針、消費者志向経営方針など）
企業等の組織が社会の一員として、自らの活動によってもたらす影響に十分配慮し、消費者の権利を尊重し、消費者のニーズや期待にこたえることにより組織の社会的責任を果たすこと",複数,b.消費者志向経営に関する方針を策定している,2
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
","(1)消費者志向経営に関する方針がありますか
【注】方針の名称は問いません（例.お客様第一主義、消費者重視経営方針、消費者志向経営方針など）
企業等の組織が社会の一員として、自らの活動によってもたらす影響に十分配慮し、消費者の権利を尊重し、消費者のニーズや期待にこたえることにより組織の社会的責任を果たすこと",複数,c.消費者志向経営に関する方針を公表している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,a.消費者志向経営に関する具体的内容を明示していない、もしくは不明,0
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数, b.「消費者の権利・利益の尊重」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数, c.「消費者の声を聴き、商品・サービス・業務の品質向上に活かすこと」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,d.「消費者のニーズ・課題に沿った商品・サービスの提供」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,e.「消費者の選択のための適切な広告・表示」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,f.「消費者の不利益・被害の解消」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,g.「消費者への説明責任」を明記している,1
2消費者の保護支援,1.基本方針・計画,"A.消費者志向経営に関する方針
",(2)消費者志向経営に関する方針には選択肢のb～hの内容がありますか,複数,"h.消費者利益と社会・環境課題との関係を明記している
【注】具体的内容については、「企業記入欄」に根拠とともに記載してください",1
2消費者の保護支援,1.基本方針・計画,B.消費者志向経営に関する計画,(1)消費者志向経営に関する方針を実現するための計画がありますか,複数,a.消費者志向経営に関する方針を実現するための計画がない、もしくは不明,0
2消費者の保護支援,1.基本方針・計画,B.消費者志向経営に関する計画,(1)消費者志向経営に関する方針を実現するための計画がありますか,複数,b.消費者志向経営に関する計画を策定している,1
2消費者の保護支援,1.基本方針・計画,B.消費者志向経営に関する計画,(1)消費者志向経営に関する方針を実現するための計画がありますか,複数,c.消費者志向経営を実現するための計画に、重要課題を特定して取り組んでいる,1
2消費者の保護支援,1.基本方針・計画,B.消費者志向経営に関する計画,(1)消費者志向経営に関する方針を実現するための計画がありますか,複数,d.消費者志向経営を実現するための計画に、目標およびKPIを設定している,1
2消費者の保護支援,2.体制・推進部署,A.消費者志向推進の対応部門・部署,"(1)消費者対応部門・部署あるいは横断的な仕組みがありますか
【注】BtoBの場合、BtoC企業の消費者対応部門と連携している部門・部署あるいは横断的委員会に置き換えて確認する。",複数,a.消費者対応部門・部署・担当はない、もしくは不明,0
2消費者の保護支援,2.体制・推進部署,A.消費者志向推進の対応部門・部署,"(1)消費者対応部門・部署あるいは横断的な仕組みがありますか
【注】BtoBの場合、BtoC企業の消費者対応部門と連携している部門・部署あるいは横断的委員会に置き換えて確認する。",複数,b.消費者対応部門・部署・担当を設置している,2
2消費者の保護支援,2.体制・推進部署,A.消費者志向推進の対応部門・部署,"(1)消費者対応部門・部署あるいは横断的な仕組みがありますか
【注】BtoBの場合、BtoC企業の消費者対応部門と連携している部門・部署あるいは横断的委員会に置き換えて確認する。",複数,c.消費者対応部門・部署以外に消費者の声を聴く仕組みがある,1
2消費者の保護支援,2.体制・推進部署,A.消費者志向推進の対応部門・部署,"(1)消費者対応部門・部署あるいは横断的な仕組みがありますか
【注】BtoBの場合、BtoC企業の消費者対応部門と連携している部門・部署あるいは横断的委員会に置き換えて確認する。",複数,d.消費者対応に関する横断的な仕組みを持っている,1
2消費者の保護支援,2.体制・推進部署,A.消費者志向推進の対応部門・部署,"(1)消費者対応部門・部署あるいは横断的な仕組みがありますか
【注】BtoBの場合、BtoC企業の消費者対応部門と連携している部門・部署あるいは横断的委員会に置き換えて確認する。",複数,e.消費者の身体・財産等に関わる緊急事態が発生した場合に対応する仕組みがある,1
2消費者の保護支援,2.体制・推進部署,B.消費者安全に関する部門・部署,(1)消費者安全に関する部門・部署あるいは横断的な仕組みがありますか,複数,a.消費者安全に関する部門・部署・担当はない、もしくは不明,0
2消費者の保護支援,2.体制・推進部署,B.消費者安全に関する部門・部署,(1)消費者安全に関する部門・部署あるいは横断的な仕組みがありますか,複数,b.消費者安全に関する部門・部署・担当を設置している,1
2消費者の保護支援,2.体制・推進部署,B.消費者安全に関する部門・部署,(1)消費者安全に関する部門・部署あるいは横断的な仕組みがありますか,複数,c.消費者安全に関する横断的な仕組みがある,2
2消費者の保護支援,2.体制・推進部署,C.適切な広告・表示に関する部門・部署,"(1)適切な広告・表示になっているかどうかをチェックする部門・部署あるいは横断的な委員会等がありますか（グリーンウォッシュ・ブルーウォッシュ・SDGsウォッシュなどのチェックを含む）
グリーンウォッシュ：環境に取り組んでいるように見えるが、実体が伴っていないこと
ブルーウォッシュ：人権保護に取り組んでいるように見えるが、実体が伴っていないこと
SDGsウォッシュ：SDGsに取り組んでいるように見えるが、実体が伴っていないこと",複数,a.適切な広告・表示のためのチェックの部門・部署・担当はない、もしくは不明,0
2消費者の保護支援,2.体制・推進部署,C.適切な広告・表示に関する部門・部署,"(1)適切な広告・表示になっているかどうかをチェックする部門・部署あるいは横断的な委員会等がありますか（グリーンウォッシュ・ブルーウォッシュ・SDGsウォッシュなどのチェックを含む）
グリーンウォッシュ：環境に取り組んでいるように見えるが、実体が伴っていないこと
ブルーウォッシュ：人権保護に取り組んでいるように見えるが、実体が伴っていないこと
SDGsウォッシュ：SDGsに取り組んでいるように見えるが、実体が伴っていないこと",複数,b.適切な広告・表示をチェックする部門・部署・担当を設置している,1
2消費者の保護支援,2.体制・推進部署,C.適切な広告・表示に関する部門・部署,"(1)適切な広告・表示になっているかどうかをチェックする部門・部署あるいは横断的な委員会等がありますか（グリーンウォッシュ・ブルーウォッシュ・SDGsウォッシュなどのチェックを含む）
グリーンウォッシュ：環境に取り組んでいるように見えるが、実体が伴っていないこと
ブルーウォッシュ：人権保護に取り組んでいるように見えるが、実体が伴っていないこと
SDGsウォッシュ：SDGsに取り組んでいるように見えるが、実体が伴っていないこと",複数,c.適切な広告・表示のための部門横断的にチェックする仕組みがある,2
